4,NORMAL,1144,558
1,NORMAL,1151,768
3,NORMAL,1152,693
3,NORMAL,1152,770
1,NORMAL,1152,779
1,NORMAL,1154,568
1,NORMAL,1158,402
3,NORMAL,1164,845
2,NORMAL,1164,854
2,NORMAL,1166,799
3,NORMAL,1170,570
1,NORMAL,1176,768
1,NORMAL,1183,734
1,NORMAL,1184,510
1,NORMAL,1184,538
1,NORMAL,1184,549
3,NORMAL,1184,554
10,NORMAL,1184,560
2,NORMAL,1184,567
7,NORMAL,1184,575
6,NORMAL,1184,582
1,NORMAL,1184,590
3,NORMAL,1184,605
1,NORMAL,1184,612
2,NORMAL,1184,629
2,NORMAL,1184,634
1,NORMAL,1184,657
2,NORMAL,1184,809
2,NORMAL,1186,562
1,NORMAL,1194,720
15,NORMAL,1195,625
5,NORMAL,1196,720
1,NORMAL,1198,646
1,NORMAL,1200,855
1,NORMAL,1201,537
1,NORMAL,1201,755
5,NORMAL,1204,931
1,NORMAL,1205,720
3,NORMAL,1205,732
4,NORMAL,1209,757
2,NORMAL,1219,547
1,NORMAL,1219,880
2,NORMAL,1238,563
6,NORMAL,1240,770
7,NORMAL,1243,560
1,NORMAL,1252,609
7,NORMAL,1253,609
1,NORMAL,1254,931
1,NORMAL,1255,612
1,NORMAL,1255,690
2,NORMAL,1257,733
1,NORMAL,1263,642
2,NORMAL,1263,810
2,NORMAL,1264,583
14,NORMAL,1264,603
1,NORMAL,1264,644
1,NORMAL,1266,439
3,NORMAL,1268,605
3,NORMAL,1275,586
4,NORMAL,1280,554
1,NORMAL,1280,562
4,NORMAL,1280,568
3,NORMAL,1280,575
1,NORMAL,1280,582
2,NORMAL,1280,583
1,NORMAL,1280,586
10,NORMAL,1280,596
4,NORMAL,1280,603
5,NORMAL,1280,608
10,NORMAL,1280,620
1,NORMAL,1280,622
10,NORMAL,1280,625
1,NORMAL,1280,627
3,NORMAL,1280,631
1,NORMAL,1280,634
1,NORMAL,1280,642
5,NORMAL,1280,643
3,NORMAL,1280,651
4,NORMAL,1280,653
1,NORMAL,1280,654
1,NORMAL,1280,655
1,NORMAL,1280,671
5,NORMAL,1280,675
2,NORMAL,1280,677
35,NORMAL,1280,683
1,NORMAL,1280,687
1,NORMAL,1280,703
11,NORMAL,1280,706
1,NORMAL,1280,814
4,NORMAL,1280,865
